dag_id,run_date,task_id,start_time,end_time,log,attempt,has_task_succeeded_on_retry,error_code
daily_sales_etl,2026-05-12,extract_orders,2026-05-12 02:10:09,2026-05-12 02:14:47,"2026-05-12 02:10:09 INFO  [daily_sales_etl.extract_orders] TaskInstance started — attempt 1
2026-05-12 02:10:11 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 02:10:14 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 02:12:28 INFO  Stage 1 complete — input rows processed
2026-05-12 02:14:45 INFO  Writing output Delta table (MERGE) 
2026-05-12 02:14:47 INFO  [daily_sales_etl.extract_orders] Task completed successfully in 278s (exit_code=0)",1,False,0
daily_sales_etl,2026-05-12,extract_returns,2026-05-12 02:15:26,2026-05-12 02:21:38,"2026-05-12 02:15:26 INFO  [daily_sales_etl.extract_returns] TaskInstance started — attempt 1
2026-05-12 02:15:28 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 02:15:31 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 02:18:32 INFO  Stage 1 complete — input rows processed
2026-05-12 02:21:36 INFO  Writing output Delta table (MERGE) 
2026-05-12 02:21:38 INFO  [daily_sales_etl.extract_returns] Task completed successfully in 372s (exit_code=0)",1,False,0
daily_sales_etl,2026-05-12,transform_sales,2026-05-12 02:21:46,2026-05-12 02:42:05,"2026-05-12 02:21:46 INFO  [daily_sales_etl.transform_sales] TaskInstance started — attempt 1
2026-05-12 02:21:48 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 02:21:51 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 02:31:55 INFO  Stage 1 complete — input rows processed
2026-05-12 02:42:03 INFO  Writing output Delta table (MERGE) 
2026-05-12 02:42:05 INFO  [daily_sales_etl.transform_sales] Task completed successfully in 1219s (exit_code=0)",1,False,0
daily_sales_etl,2026-05-12,dq_check_sales,2026-05-12 02:42:15,2026-05-12 03:00:03,"2026-05-12 02:42:15 INFO  [daily_sales_etl.dq_check_sales] TaskInstance started — attempt 1
2026-05-12 02:42:17 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 02:42:20 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 02:51:09 INFO  Stage 1 complete — input rows processed
2026-05-12 03:00:01 INFO  Writing output Delta table (MERGE) 
2026-05-12 03:00:03 INFO  [daily_sales_etl.dq_check_sales] Task completed successfully in 1068s (exit_code=0)",1,False,0
daily_sales_etl,2026-05-12,load_fact_sales,2026-05-12 03:00:23,2026-05-12 03:06:28,"2026-05-12 03:00:23 INFO  [daily_sales_etl.load_fact_sales] TaskInstance started — attempt 1
2026-05-12 03:00:25 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 03:00:28 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 03:03:25 INFO  Stage 1 complete — input rows processed
2026-05-12 03:06:26 INFO  Writing output Delta table (MERGE) 
2026-05-12 03:06:28 INFO  [daily_sales_etl.load_fact_sales] Task completed successfully in 365s (exit_code=0)",1,False,0
customer_360_pipeline,2026-05-12,ingest_crm,2026-05-12 01:26:36,2026-05-12 01:31:42,"2026-05-12 01:26:36 INFO  [customer_360_pipeline.ingest_crm] TaskInstance started — attempt 1
2026-05-12 01:26:38 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 01:26:41 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 01:29:09 INFO  Stage 1 complete — input rows processed
2026-05-12 01:31:40 INFO  Writing output Delta table (MERGE) 
2026-05-12 01:31:42 INFO  [customer_360_pipeline.ingest_crm] Task completed successfully in 306s (exit_code=0)",1,False,0
customer_360_pipeline,2026-05-12,ingest_web_events,2026-05-12 01:32:12,2026-05-12 01:36:53,"2026-05-12 01:32:12 INFO  [customer_360_pipeline.ingest_web_events] TaskInstance started — attempt 1
2026-05-12 01:32:14 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 01:32:17 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 01:34:32 INFO  Stage 1 running…
2026-05-12 01:36:50 ERROR Sensor: Timed out waiting for upstream partition to arrive.
2026-05-12 01:36:51 ERROR   airflow.exceptions.AirflowSensorTimeout: Sensor timed out waiting for partition dt=... on upstream dataset
                       	at airflow.sensors.base.BaseSensorOperator.execute(...)
2026-05-12 01:36:53 ERROR [customer_360_pipeline.ingest_web_events] Task failed on attempt 1 (exit_code=1)",1,False,1
customer_360_pipeline,2026-05-12,ingest_web_events,2026-05-12 01:38:49,2026-05-12 01:43:30,"2026-05-12 01:38:49 INFO  [customer_360_pipeline.ingest_web_events] TaskInstance started — attempt 2
2026-05-12 01:38:51 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 01:38:54 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 01:41:09 INFO  Stage 1 running…
2026-05-12 01:43:27 ERROR Sensor: Timed out waiting for upstream partition to arrive.
2026-05-12 01:43:28 ERROR   airflow.exceptions.AirflowSensorTimeout: Sensor timed out waiting for partition dt=... on upstream dataset
                       	at airflow.sensors.base.BaseSensorOperator.execute(...)
2026-05-12 01:43:30 ERROR [customer_360_pipeline.ingest_web_events] Task failed on attempt 2 (exit_code=1)",2,False,1
customer_360_pipeline,2026-05-12,ingest_web_events,2026-05-12 01:44:41,2026-05-12 01:49:22,"2026-05-12 01:44:41 INFO  [customer_360_pipeline.ingest_web_events] TaskInstance started — attempt 3
2026-05-12 01:44:43 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 01:44:46 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 01:47:01 INFO  Stage 1 running…
2026-05-12 01:49:19 ERROR Sensor: Timed out waiting for upstream partition to arrive.
2026-05-12 01:49:20 ERROR   airflow.exceptions.AirflowSensorTimeout: Sensor timed out waiting for partition dt=... on upstream dataset
                       	at airflow.sensors.base.BaseSensorOperator.execute(...)
2026-05-12 01:49:22 ERROR [customer_360_pipeline.ingest_web_events] Task failed on attempt 3 (exit_code=1)",3,False,1
customer_360_pipeline,2026-05-12,ingest_web_events,2026-05-12 01:52:44,2026-05-12 01:57:25,"2026-05-12 01:52:44 INFO  [customer_360_pipeline.ingest_web_events] TaskInstance started — attempt 4
2026-05-12 01:52:46 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 01:52:49 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 01:55:04 INFO  Stage 1 running…
2026-05-12 01:57:22 ERROR Sensor: Timed out waiting for upstream partition to arrive.
2026-05-12 01:57:23 ERROR   airflow.exceptions.AirflowSensorTimeout: Sensor timed out waiting for partition dt=... on upstream dataset
                       	at airflow.sensors.base.BaseSensorOperator.execute(...)
2026-05-12 01:57:25 ERROR [customer_360_pipeline.ingest_web_events] Task failed on attempt 4 (exit_code=1)",4,False,1
