dag_id,run_date,num_successful_tasks,num_failed_tasks,is_success
daily_sales_etl,2026-05-12,5,0,True
customer_360_pipeline,2026-05-12,1,1,False
inventory_sync,2026-05-12,4,0,True
marketing_attribution,2026-05-12,4,0,True
finance_reconciliation,2026-05-12,5,0,True
clickstream_ingest,2026-05-12,5,0,True
ml_feature_store,2026-05-12,4,0,True
data_quality_checks,2026-05-12,3,0,True
revenue_reporting,2026-05-12,3,0,True
user_segmentation,2026-05-12,1,1,False
daily_sales_etl,2026-05-13,5,0,True
customer_360_pipeline,2026-05-13,5,0,True
inventory_sync,2026-05-13,2,1,False
marketing_attribution,2026-05-13,4,0,True
finance_reconciliation,2026-05-13,5,0,True
clickstream_ingest,2026-05-13,5,0,True
ml_feature_store,2026-05-13,4,0,True
data_quality_checks,2026-05-13,3,0,True
revenue_reporting,2026-05-13,2,1,False
user_segmentation,2026-05-13,4,0,True
daily_sales_etl,2026-05-14,5,0,True
customer_360_pipeline,2026-05-14,5,0,True
inventory_sync,2026-05-14,4,0,True
marketing_attribution,2026-05-14,4,0,True
finance_reconciliation,2026-05-14,5,0,True
clickstream_ingest,2026-05-14,5,0,True
ml_feature_store,2026-05-14,4,0,True
data_quality_checks,2026-05-14,3,0,True
revenue_reporting,2026-05-14,3,0,True
user_segmentation,2026-05-14,1,1,False
daily_sales_etl,2026-05-15,5,0,True
customer_360_pipeline,2026-05-15,5,0,True
inventory_sync,2026-05-15,4,0,True
marketing_attribution,2026-05-15,4,0,True
finance_reconciliation,2026-05-15,5,0,True
clickstream_ingest,2026-05-15,5,0,True
ml_feature_store,2026-05-15,4,0,True
data_quality_checks,2026-05-15,3,0,True
revenue_reporting,2026-05-15,2,1,False
user_segmentation,2026-05-15,4,0,True
daily_sales_etl,2026-05-16,5,0,True
customer_360_pipeline,2026-05-16,5,0,True
inventory_sync,2026-05-16,4,0,True
marketing_attribution,2026-05-16,4,0,True
finance_reconciliation,2026-05-16,5,0,True
clickstream_ingest,2026-05-16,5,0,True
ml_feature_store,2026-05-16,4,0,True
data_quality_checks,2026-05-16,3,0,True
revenue_reporting,2026-05-16,3,0,True
user_segmentation,2026-05-16,4,0,True
daily_sales_etl,2026-05-17,5,0,True
customer_360_pipeline,2026-05-17,5,0,True
inventory_sync,2026-05-17,4,0,True
marketing_attribution,2026-05-17,4,0,True
finance_reconciliation,2026-05-17,5,0,True
clickstream_ingest,2026-05-17,5,0,True
ml_feature_store,2026-05-17,4,0,True
data_quality_checks,2026-05-17,3,0,True
revenue_reporting,2026-05-17,3,0,True
user_segmentation,2026-05-17,4,0,True
daily_sales_etl,2026-05-18,5,0,True
customer_360_pipeline,2026-05-18,5,0,True
